map,region,area type,elderly percentage,access to doctors,uninsured,diabetes,cardiovascular disease,poverty,african american,Hispanic,risk score,vulnerability score,covid risk,social vulnerability
26139,midwest,suburban,very low elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.404648,0.405338003,moderate covid risk index,low social vulnerability rank
54083,southeast,rural,high elderly percentage,very low access to doctors,low uninsured rate,moderate diabetes rate,high cardiovascular disease rate,high poverty rate,medium african american population,very low hispanic population,0.404967,0.504404118,moderate covid risk index,moderate social vulnerability rank
47163,southeast,small city,high elderly percentage,very low access to doctors,moderate uninsured rate,high diabetes rate,moderate cardiovascular disease rate,high poverty rate,medium african american population,very low hispanic population,0.405285,0.485142736,moderate covid risk index,moderate social vulnerability rank
54047,southeast,rural,high elderly percentage,very high access to doctors,moderate uninsured rate,very high diabetes rate,very high cardiovascular disease rate,very high poverty rate,high african american population,very low hispanic population,0.405603,0.524196116,moderate covid risk index,moderate social vulnerability rank
51147,southeast,rural,low elderly percentage,low access to doctors,high uninsured rate,high diabetes rate,moderate cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.405922,0.504616364,moderate covid risk index,moderate social vulnerability rank
49041,rockies,rural,low elderly percentage,moderate access to doctors,high uninsured rate,low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,medium hispanic population,0.40624,0.444391383,moderate covid risk index,low social vulnerability rank
18161,midwest,suburban,moderate elderly percentage,very high access to doctors,moderate uninsured rate,very high diabetes rate,high cardiovascular disease rate,low poverty rate,very low african american population,very low hispanic population,0.406558,0.417701369,moderate covid risk index,low social vulnerability rank
39101,midwest,rural,low elderly percentage,high access to doctors,very low uninsured rate,very high diabetes rate,very high cardiovascular disease rate,high poverty rate,high african american population,low hispanic population,0.406877,0.413297251,moderate covid risk index,low social vulnerability rank
37119,southeast,urban,very low elderly percentage,very low access to doctors,high uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,null,high hispanic population,0.407195,0.414517669,moderate covid risk index,low social vulnerability rank
35035,southwest,rural,low elderly percentage,high access to doctors,moderate uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very high poverty rate,medium african american population,very high hispanic population,0.407514,0.50159185,moderate covid risk index,moderate social vulnerability rank
12009,southeast,small city,very high elderly percentage,low access to doctors,high uninsured rate,moderate diabetes rate,high cardiovascular disease rate,low poverty rate,high african american population,high hispanic population,0.407832,0.406399236,moderate covid risk index,low social vulnerability rank
42125,northeast,suburban,high elderly percentage,very low access to doctors,very low uninsured rate,moderate diabetes rate,very high cardiovascular disease rate,very low poverty rate,medium african american population,very low hispanic population,0.40815,0.372174467,moderate covid risk index,low social vulnerability rank
22089,southeast,suburban,very low elderly percentage,high access to doctors,low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,low poverty rate,null,high hispanic population,0.408469,0.416268704,moderate covid risk index,low social vulnerability rank
55031,midwest,small city,moderate elderly percentage,very high access to doctors,very low uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,low poverty rate,medium african american population,very low hispanic population,0.408787,0.424334076,moderate covid risk index,low social vulnerability rank
15003,noncontiguous,small city,low elderly percentage,very low access to doctors,very low uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.409105,0.426934098,moderate covid risk index,low social vulnerability rank
54057,southeast,small city,high elderly percentage,high access to doctors,low uninsured rate,high diabetes rate,high cardiovascular disease rate,moderate poverty rate,medium african american population,very low hispanic population,0.409424,0.505677597,moderate covid risk index,moderate social vulnerability rank
31105,midwest,rural,very high elderly percentage,null,high uninsured rate,low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,high hispanic population,0.409742,0.553380028,moderate covid risk index,high social vulnerability rank
27119,midwest,small city,moderate elderly percentage,moderate access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,medium african american population,high hispanic population,0.41006,0.475273268,moderate covid risk index,moderate social vulnerability rank
